Lambda_9.0,9,Lambda_8.5,8.5,Lambda_8.0,8.0,Lambda_7.5,7.5,Lambda_7.0,7.0,Lambda_6.5,6.5,Lambda_6.0,6.0,Lambda_5.5,5.5
399.962851649433,0.469649608647601,400.380011394359,0.475614606133671,400.394207076136,0.363381853965755,400.384722791477,0.236368243132581,400.354971806387,0.139082521886694,400.384829152347,0.102316043177448,401.078595673172,0.086132566272539,400.335986391094,0.077000213877836
400.394340174995,0.522469718814317,401.496266331582,0.48871561927543,401.689000045418,0.373354863518689,401.74278693556,0.242037994282828,401.712307609729,0.142370598816653,401.700300392385,0.103106998099322,401.941728006298,0.086175295595961,401.6923025174,0.076953946899391
401.484326757212,0.535320269908033,402.684592554464,0.499342368098345,403.018708117311,0.382300258607757,403.100802523593,0.247548967151722,403.069587920444,0.145477214853637,403.05698415735,0.104262909536832,403.914920993197,0.087316362755528,403.048722692383,0.077247919095272
402.575597171968,0.546127467336836,403.921232585954,0.511155271070201,404.377826621322,0.391417766724517,404.458811175048,0.253037257408995,404.426868231159,0.148583830890621,404.413667922316,0.105418820974342,405.271590885006,0.088426908969794,404.405274662358,0.077972860911967
403.688772349477,0.557410297791168,405.157636080117,0.522194696985754,405.737035300853,0.400830148792361,405.816750460718,0.25829872155005,405.784197097923,0.151849225208958,405.77049735543,0.107051067255909,406.628122045245,0.089083802951624,405.761729520234,0.078380246165958
404.7800951286,0.56838872669986,406.423365479236,0.533129832104522,407.096146868286,0.409924974297499,407.174231932209,0.262063133324066,407.141553711001,0.155205349973781,407.127375344593,0.108842091818829,407.984819683367,0.090285079612377,407.118323109679,0.079241283652384
405.813561266755,0.57991711611264,407.724131833528,0.543435810636913,408.45520987967,0.418861021521285,408.531713403699,0.265827545098082,408.498847894872,0.158357331234009,408.48437125559,0.111018720779319,409.341600560432,0.091758547612592,408.474965255174,0.080261099420163
406.904798268057,0.590615051549513,409.019433485232,0.555072211708779,409.814252081318,0.427729020910206,409.889416845701,0.270317800443996,409.856142078744,0.161509312494237,409.841381039744,0.113240714963053,410.698381437496,0.093232015612807,409.83173919566,0.081711884808755
408.017888665163,0.601620650084023,410.349686574005,0.565799811996702,411.173259600073,0.436483607241017,411.247869438178,0.277257777845064,411.213616613656,0.165251041656631,411.198439379947,0.11562148742814,412.055273299816,0.09506840539897,411.188506199567,0.083139987585726
409.130962106188,0.612570802234569,411.7094224335,0.576936072547802,412.532267118829,0.445238193571829,412.606405269598,0.284469946585593,412.57108421199,0.168970088207404,412.555539339621,0.118138355562957,413.412165162136,0.096904795185134,412.545342569259,0.084794916478916
410.244018591131,0.623465508001151,413.069130546682,0.587981602652415,413.8912052718,0.453765953786422,413.964913354703,0.291591384879635,413.928586493216,0.172802547816285,413.912673982188,0.120768636755883,414.76912639024,0.098968011087515,413.902220558422,0.086585941041836
411.383101321347,0.634581825280656,414.428699928294,0.598573480524592,415.250157297928,0.462339079224259,415.323060737727,0.297533327369344,415.286123457334,0.176748420483276,415.269836371069,0.123489648395297,416.126129237816,0.101167322659627,415.259133230478,0.088490378662864
412.593476874631,0.645394095044888,415.788241563593,0.609074627950282,416.609005275378,0.470571965487769,416.681083262339,0.30306698284986,416.64362573856,0.180580880092157,416.62704037942,0.126346755704441,417.483187578019,0.103548095124714,416.616087522004,0.090530911953624
413.829918519976,0.656558275324361,417.14774157942,0.619439679706241,417.967818569936,0.478691438693171,418.039078040637,0.308509907883889,418.001190448992,0.184617483205635,417.984306816978,0.129408006518182,418.840232045066,0.105883502366557,417.973069559844,0.092662175690871
415.066276232722,0.667447996003209,418.507179166042,0.629600587957604,419.32656249871,0.486584085782354,419.397107501827,0.314066245976027,419.358706603375,0.18849530803776,419.341545508221,0.132378526885435,420.197345877897,0.108445735724618,419.330093217155,0.094929535097848
416.331990371368,0.67833322937641,419.86649189425,0.639353209199775,420.685167695914,0.494023080639101,420.755414426156,0.320529888533037,420.716229694336,0.192395815481507,420.698811945779,0.135439777699175,421.554473583885,0.111053334305922,420.687137684201,0.097264942339691
417.632909330386,0.68913822536448,421.225776876145,0.649015099995458,422.043765956539,0.501439392884227,422.114012686782,0.327946200778163,422.073773595033,0.19636437076012,422.056126939386,0.138659806794268,422.911629036187,0.113751663333714,422.044223770719,0.099736445251265
418.928109245606,0.70044194813256,422.584978619098,0.65840479945168,423.40220467586,0.508334005062051,423.472610947407,0.335362513023288,423.431262003102,0.200151465145757,423.413441932993,0.141879835889361,424.268812234803,0.116540722807993,423.401330666971,0.102275995997704
420.258339212451,0.711093939715077,423.944076313374,0.667454259733575,424.760567092817,0.514979108512035,424.830917871737,0.341826155580298,424.788764284328,0.203983924754639,424.770736116865,0.145031817149589,425.625995433419,0.119329782282272,424.758472246116,0.104928959802252
421.61792246722,0.721731182810498,425.303083832129,0.676208846064386,426.118846270832,0.521352020622558,426.188239801922,0.345068867287013,426.146322058182,0.207997845256495,426.12805804705,0.148274528856304,426.983234124663,0.122300302649525,426.115613825262,0.107581923606801
422.977519595146,0.732413791129162,426.662035858257,0.684781971502223,427.47693122465,0.52708981960767,427.545423000538,0.347857926761292,427.503741100466,0.211558113525915,427.48540772355,0.151607971009506,428.34045894275,0.125225457793535,427.472790087299,0.110348300469458
424.337012674395,0.742756160273499,428.020994820963,0.693377779551682,428.834946812684,0.532600792476565,428.902585389419,0.350578938400706,428.861167079329,0.215141064406957,428.842708844,0.154782634881356,429.697683760837,0.128150612937545,428.829980222494,0.113160042555359
425.696498817066,0.753075846806215,429.379620827903,0.700884822243295,430.192795922833,0.537567382666536,430.259796334349,0.353458728321472,430.218579185035,0.218678650064755,430.200065457078,0.158138759646179,431.054894705767,0.131030402858311,430.187170357688,0.115971784641259
427.055853164745,0.762964563718116,430.737934688811,0.707371147411927,431.550499364835,0.54205763801245,431.617152947427,0.356814853086296,431.575977417583,0.22217087049931,431.557366577528,0.161313423518029,432.412161143324,0.134091653672051,431.544409048932,0.118942305008512
428.415061844277,0.77237694578596,432.095887847638,0.712677976776225,432.908015519218,0.545935462844575,432.974551179975,0.36030707352085,432.933306284347,0.225436264817646,432.9146607614,0.164465404778257,433.769385961411,0.137016808816061,432.901619993862,0.121822094929278
429.773646231745,0.779747892807842,433.453473367805,0.716782627724568,434.265434561502,0.549495731113995,434.331977158838,0.363890024401892,434.290607404798,0.228610928689496,434.271934135536,0.167549338203619,435.126638525812,0.140032694406558,434.258844811949,0.124747250073288
431.131668756357,0.785281548288358,434.810767551677,0.719934608984796,435.622624696697,0.552307473199896,435.689417010858,0.367518340506177,435.647894652091,0.231740227338102,435.629207509672,0.170633271628981,436.483863343899,0.142957849550567,435.616090439771,0.127740453052163
432.489177974161,0.789136690508861,436.167832828459,0.722338064061504,436.979662227165,0.554620197830117,437.046898482348,0.371282752280194,437.005084787285,0.234551969424002,436.986467010651,0.1736718398311,437.8411159083,0.145973735141064,436.973315257858,0.130665608196173
433.846375045934,0.791971115206384,437.524648388415,0.723924945119828,438.336422294494,0.556025617995466,438.404366080682,0.375001798830966,438.362267985901,0.237341028898281,438.343664082424,0.176506264528622,439.1983684727,0.148989620731561,438.33056088568,0.133658811175048
435.203301591146,0.793920918050656,438.881235041282,0.724763299994632,439.693092186302,0.557136164209732,439.761604771926,0.377972319198219,439.719381818732,0.239903262256342,439.700875027354,0.179386054449388,440.555593290787,0.151914775875571,439.687792640345,0.13660664893068
436.560068595054,0.795349020827628,440.237689899158,0.725170685248623,441.049588663649,0.557679645133453,441.118031883488,0.378288974005723,441.076433222357,0.242261352109807,441.057995796764,0.181970970419071,441.912831982031,0.154885296242824,441.045017458432,0.139531804074689
