"","lambda","value","pH"
"1","355",366.493271872144,7.4
"2","355",369.247787691736,7.4
"3","355",372.920475451191,7.4
"4","356",381.207121575119,7.4
"5","356",386.750801212032,7.4
"6","357",394.130824728673,7.4
"7","357",399.674504365587,7.4
"8","357",404.276913397482,7.4
"9","358",407.972699822091,7.4
"10","358",412.586658186564,7.4
"11","358",415.341174006155,7.4
"12","358",418.118788490901,7.4
"13","359",422.732746855373,7.4
"14","359",425.510361340119,7.4
"15","359",428.26487715971,7.4
"16","359",431.042491644455,7.4
"17","359",434.726728736487,7.4
"18","360",442.106752253128,7.4
"19","360",446.720710617601,7.4
"20","361",454.559820104174,7.4
"21","361",460.562585711019,7.4
"22","361",465.176544075492,7.4
"23","362",473.46319019942,7.4
"24","362",476.240804684165,7.4
"25","362",481.772934988501,7.4
"26","362",486.386893352974,7.4
"27","363",492.848744929751,7.4
"28","363",496.532982021783,7.4
"29","363",499.310596506529,7.4
"30","363",502.06511232612,7.4
"31","364",506.679070690593,7.4
"32","364",514.059094207234,7.4
"33","364",516.825159359402,7.4
"34","365",519.602773844147,7.4
"35","365",522.357289663738,7.4
"36","365",526.971248028211,7.4
"37","365",535.269443484716,7.4
"38","366",538.953680576748,7.4
"39","366",541.731295061493,7.4
"40","366",544.485810881085,7.4
"41","366",550.017941185421,7.4
"42","366",554.631899549894,7.4
"43","367",561.082201794094,7.4
"44","367",569.380397250599,7.4
"45","367",572.146462402767,7.4
"46","368",576.76042076724,7.4
"47","368",582.292551071576,7.4
"48","368",590.579197195504,7.4
"49","369",594.274983620113,7.4
"50","369",597.970770044722,7.4
"51","369",607.175588108514,7.4
"52","370",615.462234232442,7.4
"53","370",620.076192596915,7.4
"54","370",622.85380708166,7.4
"55","370",628.385937385996,7.4
"56","371",633.918067690333,7.4
"57","371",637.613854114942,7.4
"58","371",640.368369934533,7.4
"59","371",644.064156359142,7.4
"60","372",651.432630543206,7.4
"61","372",654.210245027951,7.4
"62","372",658.824203392424,7.4
"63","373",662.519989817033,7.4
"64","373",668.052120121369,7.4
"65","373",671.724807880825,7.4
"66","373",674.50242236557,7.4
"67","373",678.198208790179,7.4
"68","373",681.870896549634,7.4
"69","374",684.648511034379,7.4
"70","374",692.02853455102,7.4
"71","375",699.408558067661,7.4
"72","375",706.777032251725,7.4
"73","375",712.309162556062,7.4
"74","376",715.086777040807,7.4
"75","376",720.618907345143,7.4
"76","376",724.314693769752,7.4
"77","376",729.846824074089,7.4
"78","377",732.624438558834,7.4
"79","377",738.15656886317,7.4
"80","377",744.606871107371,7.4
"81","378",747.384485592116,7.4
"82","378",750.162100076861,7.4
"83","378",754.776058441334,7.4
"84","379",759.390016805807,7.4
"85","379",740.119955401244,7.4
"86","379",763.085803230416,7.4
"87","379",747.499978917885,7.4
"88","379",767.699761594888,7.4
"89","379",752.113937282358,7.4
"90","380",774.161613171666,7.4
"91","380",754.891551767103,7.4
"92","380",768.66413086506,7.4
"93","380",757.669166251848,7.4
"94","380",779.705292808579,7.4
"95","380",761.35340334388,7.4
"96","380",783.401079233188,7.4
"97","381",790.781102749829,7.4
"98","381",771.981676647775,7.4
"99","381",794.488438507015,7.4
"100","382",779.820786134348,7.4
"101","382",799.102396871487,7.4
