L7.4,V7.4,L7.0,V7.0,L6.6,V6.6,L6.2,V6.2,L5.8,V5.8
355.487970300739,366.493271872144,355.619632692115,355.486757926356,355.870484195686,325.210182576005,355.562809975837,317.841708391941,355.803960040043,281.137929462543
355.492128060466,369.247787691736,356.212806413265,355.532955256663,355.876027875322,328.88287033546,355.855239076684,315.110291237503,355.80950371968,284.810617221998
355.497671740103,372.920475451191,356.663230383764,359.240291013849,355.881571554959,332.555558094915,356.155983696987,317.887905722248,355.815047399316,288.483304981453
355.806731879861,381.207121575119,356.965360923976,362.936077438458,355.887115234596,336.22824585437,356.602249907758,318.840725659843,356.166609082957,292.182941183588
356.259927690179,386.750801212032,357.270263304006,368.468207742795,356.238676918237,339.927882056505,357.203739148363,324.395954629333,356.247454410996,280.25440552041
356.715895340315,394.130824728673,358.48432914449,386.924041200686,356.313978566639,324.326658633872,357.505869688575,328.091741053942,356.400598560965,283.47955664251
357.169091150633,399.674504365587,360.912460825458,423.835708116468,356.318136326366,327.081174453463,357.961837338711,335.471764570583,356.405449280648,286.693158432033
357.324314180466,404.276913397482,361.217363205489,429.367838420804,356.470587516381,329.847239605631,358.409489469392,337.342756448041,356.70757982086,290.388944856642
357.626444720678,407.972699822091,361.522265585519,434.899968725141,356.526948259357,334.441949082476,358.562633619362,340.567907570141,356.713123500496,294.061632616097
357.929961180799,412.586658186564,363.041233806033,458.887932487368,356.782419495958,339.970229609287,358.715777769331,343.793058692242,356.718667180133,297.734320375553
357.934118940527,415.341174006155,363.651038566094,469.952193096041,356.787963175595,343.642917368742,359.016522389634,346.570673176987,357.001394841616,288.575699642068
358.234863560829,418.118788490901,364.258071486336,479.180109824987,356.793506855232,347.315605128197,359.218866696381,349.646645419969,357.070228863774,301.433956577687
358.53838002095,422.732746855373,364.561587946457,483.794068189459,356.919625566971,332.636403422953,359.619397550148,353.044074086341,357.15523195154,292.259936734101
358.839124641253,425.510361340119,364.865104406578,488.408026553932,357.073462676896,336.320640514985,359.773927620027,357.187397148305,357.358500204894,295.948023603658
358.84328240098,428.26487715971,365.167234946789,492.103812978541,357.095637395443,351.011391552806,360.076058160239,360.883183572914,357.375131243804,306.966086882024
359.144027021283,431.042491644455,365.47213732682,497.635943282878,357.375593217108,340.016426939594,360.377495740496,364.119884027591,357.663402584924,301.480153907995
359.297864131207,434.726728736487,365.779811546668,505.004417466942,357.381136896744,343.689114699049,360.383039420133,367.792571787046,357.755335272236,296.896993763727
359.753831781343,442.106752253128,366.237165116714,513.302612923447,357.386680576381,347.361802458505,360.825147871177,365.990875905049,357.917487901616,306.090262494942
360.057348241464,446.720710617601,366.996649226971,525.29659480456,357.397767935655,354.707177977415,360.979677941056,370.134198967013,357.923031581253,309.762950254397
360.514008851555,454.559820104174,367.300165687092,529.910553169033,357.688811116593,351.057588883114,360.984528660738,373.347800756536,357.979392324228,314.357659731241
360.967897621827,460.562585711019,367.600910307394,532.688167653778,357.699898475867,358.402964402024,361.336090344379,377.047436958671,358.058851732357,301.5109521282
361.271414081948,465.176544075492,367.908584527243,540.056641837842,357.831560867244,347.396450456235,361.640992724409,382.579567263007,358.360982272569,305.206738552809
361.580474221706,473.46319019942,368.212100987364,544.670600202315,357.993020536669,356.130633217518,361.731539491812,377.078235178876,358.514126422539,308.431889674909
361.881218842009,476.240804684165,368.816362067788,552.062173051533,358.051460159508,362.102600604158,362.036441871843,382.610365483212,358.518977142221,311.645491464432
362.186121222039,481.772934988501,369.121264447818,557.594303355869,358.132305487546,350.174064940981,362.189586021812,385.835516605313,358.524520821858,315.318179223887
362.48963768216,486.386893352974,369.427552747757,564.04460560007,358.284756677561,352.940130093149,362.245253804833,389.971140112225,358.580881564833,319.912888700732
362.944219412387,492.848744929751,369.732455127788,569.576735904406,358.306931396109,367.630881130969,362.550156184863,395.503270416562,358.965243352992,312.598311402027
363.098056522311,496.532982021783,370.034585667999,573.272522329015,358.587580177728,357.095002487689,362.635159272629,386.329250572975,359.117694543008,315.364376554195
