Position 1,Position 2,Position 3,Position 4,Position 5,Position 6,Position 7,Position 8,Position 9,Position 10,Position 11,Position 12,Position 13,Position 14,Position 15,Position 16,Position 17,Position 18,Position 19,Position 20,Position 21,Position 22,Position 23,Position 24,Position 25,Position 26,Position 27,Position 28,Position 29,Position 30,Position 31,Position 32,Position 33,Position 34,Position 35,Position 36,Position 37,Position 38,Position 39,Position 40,Position 41,Position 42,Position 43,Position 44,Position 45,Position 46,Position 47,Position 48,Position 49,Position 50,Position 51,Position 52,Position 53,Position 54,Position 55,Position 56,Position 57,Position 58,Position 59,Position 60,Position 61,Position 62,Position 63,Position 64,Position 65,Position 66,Position 67,Position 68,Position 69,Position 70,Position 71,Position 72,Position 73,Position 74,Position 75,Position 76,Position 77,Position 78,Position 79,Position 80,Position 81,Position 82,Position 83,Position 84,Position 85,Position 86,Position 87,Position 88,Position 89,Position 90,Position 91,Position 92,Position 93,Position 94,Position 95,Position 96,Position 97,Position 98,Position 99,Position 100,Movement,Strains
1.0085,1.0153,0.97463,0.8896,0.81726,0.80776,0.82224,0.8224,0.81035,0.78031,0.75297,0.75334,0.76158,0.7765,0.79553,0.81159,0.81604,0.8202,0.82215,0.8126,0.78595,0.76859,0.75901,0.7438,0.74117,0.74715,0.75422,0.74815,0.76226,0.76705,0.76838,0.78929,0.81547,0.80188,0.79917,0.79445,0.78518,0.78345,0.78335,0.77755,0.78062,0.7867,0.78695,0.7902,0.77452,0.77248,0.77341,0.77357,0.75908,0.76635,0.7842,0.78802,0.78383,0.78,0.8018,0.81445,0.82306,0.81576,0.80835,0.82464,0.8426,0.83191,0.82641,0.83021,0.83458,0.83574,0.8119,0.78871,0.78923,0.80554,0.8232,0.82191,0.81981,0.83341,0.81446,0.79504,0.80824,0.84748,0.81794,0.84191,0.84137,0.83164,0.8545,0.86218,0.85596,0.8533,0.86118,0.80946,0.81101,0.78962,0.7662,0.83021,0.8254,0.80593,0.81681,0.81918,0.77009,0.9003,0.93309,0.99613,3,1
1.0035,0.95835,0.917,0.8568,0.80094,0.79256,0.79779,0.78564,0.78524,0.79042,0.78181,0.7775,0.78242,0.79205,0.80396,0.81385,0.8159,0.82059,0.82551,0.8172,0.79407,0.78113,0.77789,0.77634,0.76561,0.76862,0.76249,0.75298,0.76747,0.76521,0.75611,0.76504,0.76771,0.76195,0.76434,0.77369,0.79081,0.79866,0.80526,0.78926,0.77742,0.78756,0.80418,0.79168,0.7878,0.78101,0.77805,0.77368,0.77377,0.77159,0.76566,0.77865,0.78621,0.80127,0.82232,0.80834,0.79026,0.80644,0.82323,0.82121,0.82318,0.82079,0.8292,0.83364,0.83382,0.82585,0.81314,0.82672,0.82391,0.81394,0.82828,0.83426,0.8255,0.81598,0.81751,0.83144,0.83799,0.84638,0.82424,0.84489,0.84968,0.86295,0.86657,0.87957,0.85473,0.8781,0.85901,0.83451,0.86371,0.83174,0.81912,0.82357,0.81966,0.81393,0.85249,0.82614,0.81991,0.89808,0.92239,1.0031,0,1
1.1008,1.0354,0.95054,0.87316,0.80336,0.78485,0.82078,0.81596,0.78626,0.78436,0.7534,0.76182,0.75722,0.77349,0.79584,0.81696,0.80853,0.80997,0.81831,0.80886,0.80401,0.76082,0.7557,0.74956,0.75861,0.75484,0.77205,0.7827,0.76801,0.7836,0.78772,0.75863,0.77968,0.78904,0.78115,0.77941,0.78729,0.7962,0.79579,0.79895,0.78729,0.77046,0.76124,0.76358,0.76492,0.77303,0.7666,0.77041,0.77251,0.77339,0.78042,0.78737,0.79111,0.79469,0.80993,0.81913,0.81654,0.8151,0.81563,0.81694,0.8055,0.79021,0.79918,0.81136,0.81592,0.81985,0.83288,0.83355,0.82252,0.82936,0.83045,0.82522,0.83066,0.84395,0.85246,0.84152,0.84232,0.84488,0.83128,0.83513,0.85514,0.86415,0.85684,0.83831,0.81055,0.81465,0.79591,0.8084,0.81998,0.79162,0.8059,0.81723,0.80153,0.79645,0.81134,0.799,0.83226,0.8638,0.87636,0.98811,0,1
0.97504,0.92635,0.90486,0.83633,0.78405,0.77465,0.76482,0.76649,0.77561,0.77428,0.78747,0.78285,0.77535,0.77207,0.7809,0.81154,0.7978,0.79185,0.803,0.80269,0.78482,0.80794,0.79799,0.78855,0.77823,0.79391,0.7857,0.78212,0.81161,0.79976,0.76806,0.78815,0.79257,0.78328,0.80309,0.80808,0.80137,0.78891,0.79457,0.80633,0.8314,0.81191,0.81452,0.79246,0.79141,0.78981,0.77711,0.78179,0.78646,0.79258,0.79711,0.79824,0.78605,0.78583,0.78418,0.78647,0.78874,0.8047,0.81757,0.81133,0.83262,0.8308,0.81999,0.81568,0.83023,0.81979,0.79031,0.79208,0.81781,0.83506,0.83638,0.8222,0.84381,0.84576,0.83415,0.78662,0.81255,0.82294,0.78829,0.80874,0.81204,0.78722,0.81254,0.85155,0.80835,0.82887,0.82794,0.79837,0.85019,0.83204,0.79573,0.81503,0.81846,0.78471,0.8154,0.80553,0.78763,0.84482,0.88207,1.0406,3,1
1.0173,0.96349,0.92727,0.8661,0.80918,0.80342,0.81787,0.8067,0.7907,0.78793,0.76145,0.74444,0.75901,0.79972,0.80156,0.79958,0.79165,0.78981,0.79391,0.79779,0.80339,0.7783,0.76705,0.77298,0.77686,0.77102,0.76168,0.7513,0.75138,0.7523,0.75377,0.75053,0.75809,0.7728,0.77237,0.77732,0.79862,0.80575,0.7969,0.79714,0.7963,0.79829,0.79371,0.79499,0.79868,0.78213,0.76364,0.76384,0.76313,0.77199,0.78833,0.79593,0.78541,0.78521,0.78952,0.79582,0.79572,0.80215,0.80978,0.81526,0.80194,0.7928,0.80465,0.8153,0.82327,0.83277,0.83972,0.83159,0.83223,0.82295,0.81259,0.80245,0.81616,0.82797,0.83086,0.8261,0.84366,0.83934,0.82596,0.82575,0.80945,0.81353,0.81251,0.81044,0.81806,0.80571,0.79889,0.8194,0.82459,0.8344,0.868,0.82392,0.8028,0.81525,0.80594,0.79537,0.82427,0.86232,0.86023,0.96342,0,1
0.98315,0.94164,0.90826,0.84921,0.79154,0.76573,0.77709,0.78197,0.77313,0.77663,0.76234,0.76336,0.76728,0.78735,0.79326,0.80657,0.81224,0.8124,0.81112,0.80547,0.80926,0.79187,0.78944,0.76612,0.73984,0.75872,0.78439,0.78718,0.77813,0.77792,0.78022,0.77615,0.77025,0.75957,0.7661,0.77797,0.77642,0.77228,0.78906,0.80071,0.77921,0.76326,0.76103,0.75431,0.75895,0.76919,0.78431,0.79402,0.79269,0.78618,0.78824,0.7857,0.78063,0.77694,0.78411,0.8026,0.80318,0.80783,0.81114,0.81196,0.81597,0.8196,0.82841,0.8356,0.84128,0.83878,0.81129,0.80362,0.81313,0.81918,0.82303,0.82271,0.81788,0.81124,0.82243,0.81862,0.81648,0.79782,0.82258,0.825,0.82414,0.83023,0.83773,0.84476,0.81777,0.81868,0.81115,0.83193,0.83035,0.80608,0.82057,0.81122,0.82146,0.83048,0.83561,0.82316,0.84817,0.86921,0.87489,1.0025,0,1
0.98342,0.94453,0.90396,0.84773,0.80232,0.78427,0.79569,0.80623,0.79111,0.78499,0.77137,0.7623,0.77391,0.79593,0.81029,0.8179,0.81642,0.81484,0.80742,0.80172,0.80704,0.79413,0.78419,0.78146,0.77456,0.77047,0.76377,0.75347,0.76059,0.77396,0.76626,0.76316,0.79048,0.8119,0.78158,0.77284,0.77725,0.78392,0.79766,0.80923,0.80526,0.79887,0.79711,0.78725,0.7768,0.76233,0.75069,0.75954,0.76671,0.77636,0.78303,0.78545,0.78257,0.78091,0.787,0.79984,0.80137,0.80148,0.81036,0.81756,0.82587,0.82527,0.82372,0.82829,0.83064,0.81741,0.80727,0.80834,0.81136,0.81551,0.81939,0.81631,0.82414,0.8289,0.83068,0.83165,0.84542,0.84238,0.84108,0.84127,0.832,0.82688,0.83727,0.86577,0.84064,0.84198,0.81842,0.81913,0.81831,0.79231,0.81921,0.83035,0.83518,0.83769,0.84342,0.78698,0.77828,0.82864,0.85906,0.97435,0,1
0.99725,1.014,0.96569,0.86178,0.80173,0.78601,0.77832,0.79279,0.79122,0.78897,0.76944,0.75396,0.75863,0.77258,0.79227,0.79443,0.80757,0.82051,0.81645,0.80199,0.7849,0.7606,0.75459,0.75309,0.7537,0.7526,0.77025,0.78321,0.78256,0.78396,0.78384,0.78376,0.77006,0.76546,0.7746,0.7898,0.80036,0.78727,0.77415,0.76989,0.76473,0.76051,0.75654,0.76835,0.78177,0.77041,0.76469,0.76581,0.77215,0.76601,0.76234,0.777,0.78296,0.78049,0.77942,0.81238,0.82209,0.81915,0.82116,0.81467,0.81409,0.80303,0.81045,0.81829,0.82836,0.82854,0.81499,0.8139,0.81983,0.82989,0.80882,0.7788,0.80691,0.8166,0.80572,0.81593,0.82877,0.83429,0.82024,0.81566,0.79167,0.80031,0.82979,0.84289,0.82917,0.82072,0.79785,0.81275,0.85091,0.83523,0.85082,0.83984,0.82939,0.83572,0.8212,0.77586,0.80314,0.89427,0.8951,0.98911,1,1
1.0021,0.98978,0.97053,0.90341,0.81197,0.78016,0.78553,0.77306,0.78194,0.77011,0.76568,0.75827,0.76454,0.7979,0.81317,0.81627,0.79139,0.79468,0.79781,0.81011,0.80159,0.77706,0.76061,0.75094,0.71999,0.73586,0.74726,0.73544,0.7615,0.78381,0.79006,0.77979,0.78362,0.78862,0.78627,0.7753,0.77278,0.76829,0.78079,0.78841,0.80161,0.81978,0.79761,0.76861,0.77015,0.78751,0.80234,0.80824,0.79236,0.76905,0.76977,0.78796,0.78982,0.78295,0.80545,0.82125,0.80043,0.78709,0.80108,0.81187,0.81373,0.81757,0.81697,0.81533,0.82492,0.83182,0.82789,0.82836,0.83673,0.82676,0.80531,0.80289,0.80596,0.80836,0.80523,0.80343,0.80675,0.81337,0.83334,0.83237,0.83768,0.84371,0.84108,0.81717,0.82353,0.82157,0.80294,0.82515,0.82651,0.81391,0.8346,0.8304,0.82658,0.8347,0.81758,0.78729,0.82886,0.85531,0.90756,1.0029,0,1
1.0036,1.0173,0.92996,0.83307,0.8071,0.78932,0.80065,0.80413,0.77298,0.78897,0.7576,0.76353,0.7794,0.79048,0.82129,0.80009,0.81125,0.8243,0.81619,0.78566,0.78991,0.75408,0.75027,0.75371,0.77052,0.72921,0.75165,0.78333,0.74636,0.74858,0.77153,0.74681,0.74598,0.77126,0.76282,0.7578,0.76357,0.77891,0.77957,0.77822,0.75895,0.76655,0.78428,0.78943,0.77694,0.76887,0.78881,0.77597,0.76214,0.77737,0.79002,0.78529,0.79026,0.78717,0.77845,0.78811,0.79123,0.80339,0.81909,0.824,0.8218,0.82856,0.82477,0.82534,0.83268,0.84123,0.84082,0.83132,0.83109,0.83799,0.83601,0.82357,0.80253,0.79396,0.80428,0.81771,0.82325,0.8233,0.82257,0.82251,0.83177,0.87442,0.86723,0.8684,0.86462,0.85508,0.84616,0.84197,0.84122,0.82788,0.84411,0.82089,0.8181,0.81668,0.8048,0.79809,0.80467,0.86788,0.9053,1.005,1,1
0.97155,0.98798,0.93104,0.8574,0.79519,0.78586,0.80232,0.80197,0.79611,0.78225,0.76778,0.75926,0.76335,0.77775,0.7912,0.79135,0.79213,0.80795,0.81432,0.80598,0.79941,0.78574,0.76435,0.74749,0.75535,0.77525,0.78385,0.77282,0.7624,0.76974,0.76958,0.77021,0.78866,0.78911,0.77335,0.77875,0.79507,0.80265,0.80403,0.81091,0.78666,0.77895,0.79294,0.79974,0.80289,0.79068,0.76776,0.73436,0.7611,0.80156,0.79704,0.78792,0.78976,0.79161,0.7939,0.81218,0.80167,0.79209,0.8117,0.83693,0.83103,0.81799,0.80796,0.80661,0.8072,0.81331,0.83017,0.826,0.82735,0.83157,0.82871,0.82092,0.82616,0.83091,0.84777,0.83468,0.82603,0.8327,0.85206,0.83588,0.85302,0.86126,0.8497,0.85791,0.83192,0.7998,0.82376,0.83271,0.80065,0.82923,0.81851,0.76211,0.79875,0.81023,0.80875,0.82999,0.8412,0.80512,0.89877,0.99075,1,1
