"","R","residual","individual","type","lambda","experiment","location"
"1",1.07092283351113,0.00777176006774,"1","R",3.9,"tbuooh","medial_axis"
"2",1.06436323805799,-0.005895965427194,"1","R",3.9,"tbuooh","medial_axis"
"3",1.09550499665496,0.025529517871941,"1","R",3.9,"tbuooh","medial_axis"
"4",1.04360508618481,-0.029966786260719,"1","R",3.9,"tbuooh","medial_axis"
"5",1.04743523618713,-0.012923438130946,"1","R",3.9,"tbuooh","medial_axis"
"6",1.09638051665379,-0.000502935928929,"1","R",3.9,"tbuooh","medial_axis"
"7",1.05957075059851,0.01604042247821,"1","R",3.9,"tbuooh","medial_axis"
"8",1.08035414389959,-0.003563101025271,"1","R",3.9,"tbuooh","medial_axis"
"9",1.10197276071525,-0.01817227941429,"1","R",3.9,"tbuooh","medial_axis"
"10",1.06822444190971,0.008549152292518,"1","R",3.9,"tbuooh","medial_axis"
"11",1.07568450433277,0.037896636576235,"1","R",3.9,"tbuooh","medial_axis"
"12",1.08830670290911,0.015613150629783,"1","R",3.9,"tbuooh","medial_axis"
"13",1.06255658827117,-0.018584902330187,"1","R",3.9,"tbuooh","medial_axis"
"14",1.07361975306634,-0.011651019187321,"1","R",3.9,"tbuooh","medial_axis"
"15",1.09137529474613,-0.016005702635945,"1","R",3.9,"tbuooh","medial_axis"
"16",1.05609479897667,0.039057085953064,"1","R",3.9,"tbuooh","medial_axis"
"17",1.0528620469613,-0.032142283467326,"1","R",3.9,"tbuooh","medial_axis"
"18",1.06855016346198,0.0145896194305,"1","R",3.9,"tbuooh","medial_axis"
"19",1.04916737267146,-0.028553081249422,"1","R",3.9,"tbuooh","medial_axis"
"20",1.07900340617218,0.002669641628847,"1","R",3.9,"tbuooh","medial_axis"
"21",1.06480769302779,-0.009878501697757,"1","R",3.9,"tbuooh","medial_axis"
"22",1.34173829423936,0.046373832878956,"1","R",3.9,"tbuooh","medial_axis"
"23",1.36231600292211,-0.001782711241492,"1","R",3.9,"tbuooh","medial_axis"
"24",1.34280578554015,-0.014665499345325,"1","R",3.9,"tbuooh","medial_axis"
"25",1.3295734847664,0.028123693817488,"1","R",3.9,"tbuooh","medial_axis"
"26",1.34771279092919,0.014468678564628,"1","R",3.9,"tbuooh","medial_axis"
"27",1.35931017254734,-0.032723616971057,"1","R",3.9,"tbuooh","medial_axis"
"28",1.36652004627208,0.004640406988166,"1","R",3.9,"tbuooh","medial_axis"
"29",1.38516938643282,-0.03146196190554,"1","R",3.9,"tbuooh","medial_axis"
"30",1.34364787526669,0.014693664839865,"1","R",3.9,"tbuooh","medial_axis"
"31",1.37021691426969,-0.016444105806783,"1","R",3.9,"tbuooh","medial_axis"
"32",1.34868628129229,0.023357057947147,"1","R",3.9,"tbuooh","medial_axis"
"33",1.3749222626602,-0.010981106453627,"1","R",3.9,"tbuooh","medial_axis"
"34",1.38373378319763,-0.011197710004363,"1","R",3.9,"tbuooh","medial_axis"
"35",1.30968999347727,-0.003126699530002,"1","R",3.9,"tbuooh","medial_axis"
"36",1.37568931136924,-0.016586008230731,"1","R",3.9,"tbuooh","medial_axis"
"37",1.32482958087839,0.007464451220615,"1","R",3.9,"tbuooh","medial_axis"
"38",1.31420504783686,0.014084138191249,"1","R",3.9,"tbuooh","medial_axis"
"39",1.35049850794228,0.01641638495408,"1","R",3.9,"tbuooh","medial_axis"
"40",1.29579170883385,-0.005252205853726,"1","R",3.9,"tbuooh","medial_axis"
"41",1.34530331909578,0.007910552807752,"1","R",3.9,"tbuooh","medial_axis"
"42",1.35250804796532,-0.023970394989811,"1","R",3.9,"tbuooh","medial_axis"
"43",1.33464243793236,0.02069009433601,"1","R",3.9,"tbuooh","medial_axis"
"44",1.30758659422611,0.00167904660402,"1","R",3.9,"tbuooh","medial_axis"
"45",1.35132201533749,0.005945928239239,"1","R",3.9,"tbuooh","medial_axis"
"46",1.30717282845814,-0.024660550978327,"1","R",3.9,"tbuooh","medial_axis"
"47",1.28952370334798,0.018268376106723,"1","R",3.9,"tbuooh","medial_axis"
"48",1.34542736195301,-0.005984527714448,"1","R",3.9,"tbuooh","medial_axis"
"49",1.28971047927979,-0.020439598298252,"1","R",3.9,"tbuooh","medial_axis"
"50",1.34181306107483,0.019345246204153,"1","R",3.9,"tbuooh","medial_axis"
"51",1.29714046075477,-0.004590587041522,"1","R",3.9,"tbuooh","medial_axis"
"52",1.29782415404543,-0.012342527773428,"1","R",3.9,"tbuooh","medial_axis"
"53",1.29713807199347,0.02677308498211,"1","R",3.9,"tbuooh","medial_axis"
"54",1.35684511246394,-0.006246932670944,"1","R",3.9,"tbuooh","medial_axis"
"55",1.29273736178927,-0.017749166263906,"1","R",3.9,"tbuooh","medial_axis"
"56",1.2985964697234,0.005169350840595,"1","R",3.9,"tbuooh","medial_axis"
"57",1.33750560173994,-0.018762484106694,"1","R",3.9,"tbuooh","medial_axis"
"58",1.29205593643415,0.006388013297631,"1","R",3.9,"tbuooh","medial_axis"
"59",1.32510756654241,0.01268893064453,"1","R",3.9,"tbuooh","medial_axis"
"60",1.30209629077414,0.007053322228547,"1","R",3.9,"tbuooh","medial_axis"
"61",1.28969754832374,-0.025066598370348,"1","R",3.9,"tbuooh","medial_axis"
"62",1.31607137788185,0.019102734043138,"1","R",3.9,"tbuooh","medial_axis"
"63",1.3161187721559,0.006239855036893,"1","R",3.9,"tbuooh","medial_axis"
"64",1.31573797620668,0.011131780718056,"1","R",3.9,"tbuooh","medial_axis"
"65",1.32077947802578,0.000310584322539,"1","R",3.9,"tbuooh","medial_axis"
"66",1.28054161603232,0.025004318097532,"1","R",3.9,"tbuooh","medial_axis"
"67",1.29070123381419,-0.025596574062795,"1","R",3.9,"tbuooh","medial_axis"
"68",1.28269289716087,-0.023926076663012,"1","R",3.9,"tbuooh","medial_axis"
"69",1.32110253473075,0.023692071484734,"1","R",3.9,"tbuooh","medial_axis"
"70",1.32417897439046,-0.021150655571147,"1","R",3.9,"tbuooh","medial_axis"
"71",1.27989255347836,-0.017104820271242,"1","R",3.9,"tbuooh","medial_axis"
"72",1.27553874492055,-0.020150003766543,"1","R",3.9,"tbuooh","medial_axis"
"73",1.33661920712928,0.03612455552766,"1","R",3.9,"tbuooh","medial_axis"
"74",1.33506480482329,0.028809225030997,"1","R",3.9,"tbuooh","medial_axis"
"75",1.31375147798014,0.018506837129692,"1","R",3.9,"tbuooh","medial_axis"
"76",1.27362772482229,-0.010985770607589,"1","R",3.9,"tbuooh","medial_axis"
"77",1.31747723770742,-0.011225583650384,"1","R",3.9,"tbuooh","medial_axis"
"78",1.27726065392133,-0.017405852514764,"1","R",3.9,"tbuooh","medial_axis"
"79",1.28961805350399,-0.012847916275049,"1","R",3.9,"tbuooh","medial_axis"
"80",1.28478352345177,-0.022189237492251,"1","R",3.9,"tbuooh","medial_axis"
"81",1.31671442444883,0.025125887879341,"1","R",3.9,"tbuooh","medial_axis"
"82",1.27414265058664,0.003015657554776,"1","R",3.9,"tbuooh","medial_axis"
"83",1.33586287018456,0.016521091551071,"1","R",3.9,"tbuooh","medial_axis"
"84",1.34746382208205,0.008199853572955,"1","R",3.9,"tbuooh","medial_axis"
"85",1.3312691543375,-0.00935462567475,"1","R",3.9,"tbuooh","medial_axis"
