Worm_Number,Frame,Condition,R1000,Worm_Number_Sum,Condition,stddev,average
1,1,Baseline,1427.001604,1,Baseline,6.074490003,1421.826173
1,2,Baseline,1413.762531,1,Diamide,52.13188913,3249.211547
1,3,Baseline,1422.061171,2,Baseline,8.367181445,1345.934278
1,4,Baseline,1422.295221,2,Diamide,28.67190972,3028.993804
1,5,Baseline,1433.13782,3,Baseline,7.556584052,1390.090958
1,6,Baseline,1422.632735,3,Diamide,40.06764734,3008.523771
1,7,Baseline,1421.847066,4,Baseline,10.14903024,1308.863026
1,8,Baseline,1415.217359,4,Diamide,16.45002944,2625.150095
1,9,Baseline,1414.57937,,,,
1,10,Baseline,1425.726854,,,,
1,11,Diamide,3392.365997,,,,
1,12,Diamide,3373.598961,,,,
1,13,Diamide,3339.975684,,,,
1,14,Diamide,3315.119247,,,,
1,15,Diamide,3282.971102,,,,
1,16,Diamide,3278.981807,,,,
1,17,Diamide,3314.063293,,,,
1,18,Diamide,3270.361531,,,,
1,19,Diamide,3274.347869,,,,
1,20,Diamide,3241.360472,,,,
1,21,Diamide,3233.52826,,,,
1,22,Diamide,3238.433115,,,,
1,23,Diamide,3225.184007,,,,
1,24,Diamide,3218.652665,,,,
1,25,Diamide,3234.412525,,,,
1,26,Diamide,3206.494082,,,,
1,27,Diamide,3226.581111,,,,
1,28,Diamide,3213.608166,,,,
1,29,Diamide,3220.749227,,,,
1,30,Diamide,3241.620414,,,,
1,31,Diamide,3212.107142,,,,
1,32,Diamide,3216.555237,,,,
1,33,Diamide,3177.270738,,,,
1,34,Diamide,3211.101928,,,,
1,35,Diamide,3206.212239,,,,
1,36,Diamide,3237.799831,,,,
1,37,Diamide,3205.514315,,,,
1,38,Diamide,3194.083265,,,,
1,39,Diamide,3233.880592,,,,
1,40,Diamide,3239.411587,,,,
2,1,Baseline,1341.904484,,,,
2,2,Baseline,1343.003956,,,,
2,3,Baseline,1341.601891,,,,
2,4,Baseline,1338.651917,,,,
2,5,Baseline,1337.097848,,,,
2,6,Baseline,1345.753426,,,,
2,7,Baseline,1348.477018,,,,
2,8,Baseline,1342.508843,,,,
2,9,Baseline,1356.188203,,,,
2,10,Baseline,1364.155196,,,,
2,11,Diamide,3078.305514,,,,
2,12,Diamide,3083.864475,,,,
2,13,Diamide,3091.78877,,,,
