condition,std_dev,mean_R,experiment
Baseline,13.17857677,1079.725621,cata_cali
Baseline,14.47776337,1090.180848,cata_cali
Baseline,16.9015589,1036.05055,cata_cali
Baseline,12.06917254,1127.855702,cata_cali
Baseline,18.4077922,1083.106951,cata_cali
Baseline,6.055842569,1043.339822,cata_cali
Baseline,10.14201964,1015.501778,cata_cali
Baseline,15.80035929,1102.986662,cata_cali
Baseline,5.678060972,1014.168339,cata_cali
Diamide_50mM,36.69008414,5193.856392,cata_cali
Diamide_50mM,43.04637,5216.051299,cata_cali
Diamide_50mM,61.50862002,5355.894535,cata_cali
Diamide_50mM,49.467217,5176.563524,cata_cali
Diamide_50mM,29.81893651,5317.531619,cata_cali
Diamide_50mM,34.57200267,5231.258253,cata_cali
Diamide_50mM,24.58366293,5173.445534,cata_cali
Diamide_50mM,35.32380662,5174.571663,cata_cali
Diamide_50mM,48.68816515,5078.889656,cata_cali
DTT_100mM,9.4525637,686.2078249,cata_cali
DTT_100mM,9.24556693,662.856393,cata_cali
DTT_100mM,11.73241949,685.5982821,cata_cali
DTT_100mM,13.14615647,672.8255571,cata_cali
DTT_100mM,9.009956282,662.9351396,cata_cali
DTT_100mM,9.032391672,670.3368042,cata_cali
DTT_100mM,11.13902216,674.2857839,cata_cali
DTT_100mM,10.42079822,676.5987088,cata_cali
DTT_100mM,8.889993056,672.4951614,cata_cali
Baseline,6.074490003,1421.826173,jodie_cali
Diamide_50mM,52.13188913,3249.211547,jodie_cali
Baseline,8.367181445,1345.934278,jodie_cali
Diamide_50mM,28.67190972,3028.993804,jodie_cali
Baseline,7.556584052,1390.090958,jodie_cali
Diamide_50mM,40.06764734,3008.523771,jodie_cali
Baseline,10.14903024,1308.863026,jodie_cali
Diamide_50mM,16.45002944,2625.150095,jodie_cali
tbuooh_5mM,0.020303557,NaN,tbuooh_fit
tbuooh_5mM,0.017882938,NaN,tbuooh_fit
tbuooh_5mM,0.018872938,NaN,tbuooh_fit
tbuooh_5mM,0.022621127,NaN,tbuooh_fit
tbuooh_5mM,0.021316173,NaN,tbuooh_fit
tbuooh_5mM,0.020308185,NaN,tbuooh_fit
tbuooh_5mM,0.021194,NaN,tbuooh_fit
tbuooh_5mM,0.018555525,NaN,tbuooh_fit
tbuooh_5mM,0.020292226,NaN,tbuooh_fit
tbuooh_5mM,0.025661787,NaN,tbuooh_fit
