baseline,tbp,t+10min,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
N,N,0,0.008190635,0.037559296,0.007519276,0.001304858,-0.022059682,0.001969034,-0.003484552,0.01350167,0.025355997,0.002074844,-0.010860227,0.007586462,-0.016108721,-0.015013175,0.011946547,0.008772366,-0.006632377,-0.004891563,-0.008002601,0.004679829,-0.020541074,-0.047264172,0.010113033,-0.00162941,-0.008348583,0.008655685,-0.004766012,0.010574749,-0.008891683,-0.002721352,-0.021609912,0.000585814,0.020317987,0.016639463,0.005278172,0.002505638,0.00703968,0.023081082,0.014084304,0.01435294,0.010533727,-0.010097038,-0.003864002,0.011344042,-0.001875346,-0.002538073,-0.00291626,-0.008116105,0.004767063,-0.006599592,-0.005302272,-0.008925639,-0.00567366,-0.01486854,-0.007418509,-0.00596703,0.000563851,0.013308179,-0.005835497,-0.005931743,0.013814565,0.00179712,0.008609624,-0.006968947
N,N,0.5,-0.005764227,-0.025831554,-0.020880199,0.004018058,0.032949377,-0.010343343,-0.009728331,0.00245939,-0.026401964,-0.001618317,0.000180845,0.010953837,0.022287365,0.01599083,0.018529449,0.000859003,0.004631439,-0.018256643,0.022467288,-0.004356775,0.01731497,0.026594802,0.012904772,-0.00856682,-0.011625017,-0.011949092,0.002955912,0.000568403,0.001191379,0.001557992,0.009683514,-0.010164636,-0.032528943,-0.011673714,0.000534129,-0.004595385,-0.007339384,-0.012772091,-0.00620731,-0.015935616,-0.008737714,-0.014874052,-0.002517052,-0.008352806,0.006521201,-0.008782683,-0.00034197,0.018017287,0.000542956,0.012771614,-0.004836573,0.001791743,-0.001020212,0.009861298,0.00738259,0.00224405,0.013618807,-0.005963082,0.006872358,0.006354967,-0.005643746,0.021817732,0.008211401,0.024573084
N,N,1,0.02539901,-0.003497734,0.012353183,0.017091639,-0.026963037,-0.010814151,-0.006636334,-0.025470506,-0.008094107,0.006127694,0.028980207,-0.002844728,0.00697709,0.013256168,-0.041299172,0.002155159,0.009240432,0.01682217,-0.006307782,-0.013762479,0.024389857,0.009312775,-0.00982173,-0.016163964,0.029853981,-0.005163641,-0.009044798,-0.01728446,0.017681351,0.011549166,0.005957739,0.002546697,-0.003076226,-0.007597303,-0.010727991,0.025994292,-0.0005421,-0.006094788,0.005452417,-0.020503547,0.010714356,0.022650605,0.007311673,-0.02076467,-0.012773647,0.00104648,-0.000958725,0.01476137,-0.007839452,0.012711088,0.015201964,0.012895345,0.001068566,0.016614605,-0.006602697,0.00736915,-0.007323086,-0.009912894,0.002686407,-0.003580034,-0.024837794,-0.016988285,-0.004037721,-0.013945458
Y,N,1.5,-0.030272587,-0.032081355,0.002066333,-0.014591609,0.0195795,0.026703527,0.024994626,0.00883319,0.009010523,0.018975068,0.007284407,-0.019617833,-0.022068639,0.002374678,0.012863986,-0.009501254,0.002904839,0.023001669,0.002356962,0.006051759,-0.026589698,-0.002650755,-0.013199069,0.013909763,-0.008288313,0.008406397,0.003616967,-0.004572316,-0.010257169,-0.019040014,-0.002080249,-0.008121129,0.016446772,-0.004444455,0.015423888,-0.026671675,-0.004559403,-0.02073752,0.005963514,0.00444286,-0.008176641,-0.002401953,-0.001345254,0.021876703,0.010113036,0.016717511,-0.012345413,-0.013271614,-0.011577598,-0.011356582,-0.005249735,-0.012971966,0.011871215,-0.016289021,0.011030443,-0.009801288,-0.018125226,0.000678894,-0.007022003,-0.005303403,0.00018668,-0.012040249,-0.000827572,0.005067834
Y,N,2,-0.013253227,-0.020411407,0.000238599,-0.016638104,-0.001438618,0.012002009,-0.015270526,-0.008950677,0.015223611,-0.024122634,-0.023469485,-0.006099263,-0.018985812,-0.006055531,0.003140063,-0.022699019,-0.013383982,-0.012768849,-0.014066027,0.004555579,0.030818296,0.03860431,-0.000235564,0.021746067,0.003021326,-0.005718693,0.031487686,0.006529121,-0.005634651,-0.015768706,0.01331486,0.025563595,0.011331088,0.002198667,-0.010862118,-0.024019082,-0.010262584,0.010288515,-0.027097963,0.017475371,-0.017001836,0.015117987,0.022239184,0.002547894,-0.026109498,0.018672416,-0.002394887,-0.023909069,0.006339644,-0.026240575,0.002720035,-0.007710554,0.001082785,-0.007028525,-0.007195868,-0.013613771,0.02510584,-0.007433622,-0.019025061,0.016028477,0.00375873,-0.013379252,-0.013600078,-0.00916289
Y,N,2.5,-0.000691896,0.008523031,-0.021995408,0.002610267,-0.036395306,-0.011728397,0.03817464,-0.008206438,-0.006441752,-0.023623514,-0.006230853,-0.011621128,0.022559423,-0.010549292,-0.032104769,0.016642357,0.005480373,0.01602013,0.003429589,-0.002061073,-0.018031164,0.030803564,-0.015095875,-0.002686955,0.004766537,-0.007420494,-0.027242425,-0.009890518,0.015519938,0.026382547,0.016948019,0.014462651,-0.008431335,0.002382651,-0.003436488,0.023355156,0.014734123,0.003009088,-0.002242013,0.000302751,-0.01125027,-0.019416574,-0.016924021,-0.017174042,0.019617818,-0.027160984,0.018624803,-0.013157658,0.004587496,0.00987053,0.003519356,0.018819413,-0.003697581,-0.002506234,0.023461951,0.020953058,-0.026388261,0.017772992,0.021087613,0.013291328,0.014219677,-0.001702372,0.002984818,-0.007919197
Y,N,3,0.016097506,0.026067593,-7.25E-05,-0.022866958,0.045367946,-0.006168729,-0.023061093,0.010029929,0.008302797,-0.002316569,0.007958116,0.017888465,0.011155893,-0.006176586,0.01361106,-0.019135331,-0.015044902,-0.004359265,-0.004371372,0.016695291,-0.015232009,-0.016447199,-0.019053793,-0.005319174,-0.004048834,0.006083112,-0.003881312,0.001648767,-0.017469001,-0.013701938,-0.012767176,-0.022476695,0.004709583,-0.002322906,-0.016358514,-0.015120541,-0.004732858,0.024155997,-0.02249286,-0.020852755,0.016931095,0.013437854,-0.002754949,-0.007778967,-0.002468714,0.007486945,0.012175527,0.009041108,-0.007400255,0.002654043,-0.000270027,-0.010371867,0.001030084,0.015928785,-0.024700331,-0.007250664,-0.001904184,-0.012162663,0.005300029,-0.02197076,0.020112899,0.003143858,-0.017709513,-0.006182785
Y,N,3.5,-0.003236897,0.00229394,0.036182945,0.019093639,0.018834456,-0.010116796,-0.0204558,0.034317542,-0.022614175,0.00999761,-0.015424885,0.007042068,-0.011133902,-0.009144588,0.002577504,0.024285593,0.002604528,-0.013572185,-0.008942049,0.023488202,-0.022818614,-0.020247021,0.025952543,0.00404676,-0.011255581,0.015929893,0.011737114,0.001168018,0.003568047,0.012331607,0.004712098,-0.004526264,-0.012283853,0.005631845,0.009070562,0.004339282,0.010047635,-0.044425904,0.00388759,0.011008015,0.016226637,-0.010653102,-0.011277217,0.020055408,0.003052741,0.002940296,-0.004246269,0.004370593,0.017499844,-0.00160565,-0.006666687,0.006346402,-0.006263221,0.011920908,-0.015986359,0.009914714,0.0228139,-0.007437346,-0.008863945,0.009728771,0.002414475,0.001246482,-0.01597537,0.005423252
Y,N,4,-0.017592715,0.017813979,-0.026738373,0.018526477,-0.015365251,0.026722685,0.019816759,-0.014906246,-0.025275164,0.012336094,0.011198424,-0.002462354,-0.004072926,0.01714225,0.016833657,0.02429126,0.01342773,0.03458981,0.00312536,-0.039425545,0.030420093,-0.047643694,0.003852378,-0.003024479,0.017324805,0.009634394,-0.009417185,0.017739251,-0.003030176,0.012880186,-0.008107424,-0.010177843,0.021444325,0.005023468,-0.020152372,0.025329707,0.003015993,0.002481108,0.025214982,0.020403932,0.007543089,0.033669223,0.008185733,0.024520326,0.020489552,-0.027149695,-0.002772407,0.020767995,0.005122274,0.010364063,0.003649224,0.014710918,-0.006724531,-0.001109781,-0.003306798,0.010886537,-0.016468143,0.011259138,-0.000637101,-0.005933129,-0.005233048,0.024436438,0.018665416,0.001542809
Y,N,4.5,0.009334834,0.003366506,0.010320083,-0.013512425,0.000289443,-0.017712624,0.004374605,-0.026936223,0.013095569,-0.029301104,0.019866266,-0.026895991,0.052604802,0.010298522,0.020330393,-0.021148483,0.00992974,-0.022453349,-0.001383518,0.015432137,0.008512063,0.032333738,0.017643797,0.009937962,-0.025665198,-0.004481527,-0.017167481,0.008858133,0.005806512,-0.016614774,-0.006427199,0.022818622,-0.021163495,-0.008549575,0.025620903,-0.0081837,0.00478276,0.003007457,0.015330942,-0.007403815,-0.014600716,-0.009952356,-0.013470682,-0.027554087,0.014259339,0.020117503,-0.006085827,-0.009051522,-0.009990407,-0.016078159,-0.01542077,0.012275516,-0.001470538,-0.013717097,0.025078609,0.01300293,0.01423516,0.001330047,0.01337694,-0.018773996,-0.031827129,0.023859673,0.022854381,-2.97E-05
