Lambda_oxidized,oxidized,Lambda_reduced,reduced
325.8641534,87.02366985,326.9438351,60.06988726
326.0426975,88.02351681,328.5517523,65.07422333
326.4002959,88.02606744,329.8030914,66.08172219
327.6511248,91.03070959,330.518033,67.08539509
327.8294139,93.02912819,331.4112636,70.08748661
327.8296689,92.03055655,332.6623476,72.09355711
328.7226445,96.03121971,333.5558333,74.09707698
329.6161302,98.03473958,334.449319,76.10059685
330.3310718,99.03841249,335.1642606,77.10426975
331.4031016,102.0417793,335.878692,80.10508596
331.7601898,104.0414732,336.7719227,83.10717747
332.117533,105.0425955,337.4860991,87.10656532
332.6531653,108.0421364,337.8431873,89.10625925
333.7244299,114.0412182,338.5571086,94.10421874
333.9024639,117.0382084,339.0927409,97.10375963
334.4383513,119.0391777,339.6278631,102.1004438
335.3315819,122.0412692,340.8779268,108.1008009
335.8674693,124.0422384,341.9491915,114.0998827
336.4028465,128.040351,342.842167,118.1005458
337.6529103,134.0407081,343.5563434,122.0999337
338.5458858,138.0413712,344.0914656,127.0966179
339.4383513,144.0391777,344.8053869,132.0945774
340.3303066,152.0341274,345.6975973,139.0909555
341.0439729,158.0306586,346.0544304,142.089221
341.5785849,165.024486,346.9468959,148.0870275
342.1137071,170.0211702,347.6610723,152.0864153
342.8271183,177.016273,348.3742284,160.0800898
343.5397643,187.0070908,349.0878947,166.0766209
344.2531755,194.0021935,349.6232719,170.0747335
344.9670969,199.000153,350.1583941,175.0714176
345.502219,203.9968372,350.8715503,183.0650921
346.2153752,211.9905117,351.4066724,188.0617763
346.7497322,219.9829108,351.7624853,195.0543284
347.4621231,230.9723002,352.2976075,200.0510126
348.1752793,238.9659746,353.0110187,207.0461154
348.8874152,250.9539356,353.902974,215.0410651
349.7783503,262.943172,354.4380962,220.0377493
350.4909963,272.9339897,354.9732184,225.0344335
350.8468092,279.9265419,355.6861195,234.0266796
351.0235678,287.9163903,356.0421874,240.0206601
351.3781054,299.9018007,356.5767995,247.0144876
351.9122073,308.8927715,357.1116666,253.0097434
352.9816865,321.8818548,357.6465337,259.0049992
353.5155333,331.8713972,358.1811457,265.9988267
354.2281794,341.862215,358.7162679,270.9955109
354.9410804,350.8544611,359.0713156,280.983778
355.6524512,365.838137,359.7826863,295.967454
356.008009,373.8292608,360.3165332,305.9569964
356.542621,380.8230883,360.6731113,309.9538336
357.4320257,398.8037545,361.2082334,314.9505178
358.1439065,411.7902872,361.5645564,319.9459266
358.4994644,419.781411,361.9206244,325.9399072
359.0328011,431.7680967,362.2772025,329.9367444
359.7451921,442.7574861,362.8123246,334.9334286
360.2785288,454.7441718,363.1689027,338.9302658
360.4555425,461.7354487,363.5252257,343.9256746
360.6328113,467.7281539,363.7027496,348.9198082
361.1664031,478.7162679,363.8789981,358.9068
361.70025,488.7058103,363.8802734,353.9139417
362.0555527,497.6955058,364.0570321,361.9037902
362.5896546,506.6864766,364.5916441,368.8976177
363.1232464,517.6745906,364.947202,376.8887415
363.4788043,525.6657144,365.303525,381.8841504
363.8333418,537.6511248,366.0171912,387.8806815
364.5452227,550.6376575,366.1947151,392.8748151
365.0785594,562.6243432,366.9083814,398.8713462
365.6121512,573.6124573,367.6220476,404.8678774
366.1454879,585.599143,367.7993164,410.8605826
366.5015559,591.5931235,368.1556394,415.8559914
366.8566036,601.5813906,368.6910167,419.854104
367.3901954,612.5695047,369.2258838,425.8493598
367.9250625,618.5647605,369.5816967,432.841912
368.4591644,627.5557313,369.9385298,435.8401775
