Lambda_230,-230 mv,Lambda_310,-310 mv
352.7300486,2.864757793,357.7087597,1.567088058
353.7247379,2.98617372,358.5379417,1.569062301
355.3814566,3.585356384,360.0304691,1.572615937
355.3814566,3.585356384,360.3621419,1.573405634
356.2093224,4.063517969,361.0254875,1.574985029
357.369848,4.185328744,361.688504,1.695611258
357.7011918,4.305165277,362.3518495,1.697190653
358.0322065,4.544048645,362.8493587,1.698375198
358.695223,4.664674875,363.6782116,1.819396277
359.1924031,4.784906256,364.3415572,1.820975671
359.5237468,4.904742789,365.1704101,1.941996749
359.5237468,4.904742789,365.9992629,2.063017827
360.6832854,5.383694071,366.8284449,2.06499207
360.6832854,5.383694071,367.6576268,2.066966313
362.0093184,5.624946531,368.4864797,2.187987391
362.5061695,5.864224748,369.3156617,2.189961634
363.0036787,5.865409293,370.310351,2.311377561
364.1638753,6.106266904,370.9736965,2.312956955
364.4955481,6.107056602,371.4712057,2.314141501
366.1532539,6.349098758,372.465895,2.435557427
366.4849267,6.349888455,373.1292405,2.437136822
367.4796159,6.471304382,374.1239298,2.558552748
368.9704982,7.070092197,374.7869463,2.679178978
368.9704982,7.070092197,375.7819646,2.68154807
369.4673493,7.309370414,376.7766539,2.802963996
369.9648585,7.31055496,377.7713432,2.924379923
370.627875,7.431181189,378.4346888,2.925959317
372.1194154,7.791875333,379.2635417,3.046980396
372.6162664,8.03115355,380.2579019,3.287443158
372.9479392,8.031943247,381.0867548,3.408464237
374.4401377,8.15454372,381.7497713,3.529090466
375.1028251,8.394216785,382.5786242,3.650111545
375.4344979,8.395006482,383.4071481,3.890179459
376.0975144,8.515632712,384.4018374,4.011595386
376.9263673,8.63665379,385.3965266,4.133011312
378.2517423,9.115999921,386.2253795,4.254032391
378.583086,9.235836454,387.2197398,4.494495153
378.583086,9.235836454,388.0482637,4.734563067
378.9147588,9.236626151,389.2084603,4.975420678
380.2398047,9.835019117,390.2028205,5.215883441
381.5664958,9.838177906,391.1975098,5.337299368
383.3893799,10.31870858,391.695019,5.338483913
383.3893799,10.31870858,392.5238719,5.459504992
383.7210527,10.31949828,393.3523957,5.699572905
383.7210527,10.31949828,394.1809196,5.939640819
385.211935,10.91828609,395.0091144,6.298755569
385.708786,11.15756431,396.1693111,6.53961318
386.5373099,11.39763222,396.9978349,6.779681094
386.5373099,11.39763222,397.9921952,7.020143856
387.6975065,11.63848984,398.8200609,7.498305442
388.1943576,11.87776805,399.8144212,7.738768204
389.3538962,12.35671934,401.1407832,7.860973828
389.3538962,12.35671934,402.1351435,8.101436591
390.0165836,12.5963924,403.4608475,8.461735886
390.6799292,12.59797179,404.6210441,8.702593497
391.5087821,12.71899287,405.6157334,8.824009424
392.0056332,12.95827109,406.77593,9.064867035
392.1714696,12.95866594,408.1019631,9.306119494
392.6683206,13.19794416,409.0966523,9.427535421
393.3313372,13.31857039,409.7596689,9.548161651
393.9943537,13.43919661,410.7543581,9.669577578
394.8232066,13.56021769,411.9145548,9.910435189
395.6520595,13.68123877,412.9075989,10.62708529
396.6467488,13.8026547,413.9022881,10.74850122
397.3100943,13.80423409,414.2336319,10.86833775
398.1389472,13.92525517,414.3994683,10.8687326
398.6364564,13.92643972,414.5649756,10.98817429
399.2998019,13.92801911,414.8959903,11.22705765
399.7973111,13.92920366,415.7241851,11.5861724
400.1289839,13.92999335,416.0548708,11.94410261
400.4606566,13.93078305,416.7172292,12.30282251
400.626493,13.9311779,417.3795876,12.66154241
400.9581658,13.9319676,418.2077825,13.02065716
401.1240022,13.93236244,418.8704699,13.26033022
401.456004,13.81410531,419.6989938,13.50039814
401.6221694,13.69545332,420.1955158,13.85872319
401.7880058,13.69584817,421.0230526,14.45593161
402.6181749,13.3406819,421.8505893,15.05314003
403.7796877,13.10535217,422.6784551,15.53130162
404.4433623,12.98788473,423.1753062,15.77057984
405.1070369,12.87041729,424.1690083,16.24913627
405.9365478,12.7533447,424.9972032,16.60825102
406.434386,12.63548241,425.4937252,16.96657607
407.0983897,12.39896813,426.3202748,17.920925
407.4300625,12.39975783,427.6446626,18.75741164
408.0943951,12.04419671,428.1408556,19.23478352
408.7583988,11.80768244,428.8022269,19.95064393
409.5879097,11.69060984,429.7956001,20.5482472
410.0857479,11.57274755,430.4573004,21.14506077
410.7490935,11.57432695,431.1193298,21.62282751
411.4127681,11.45685951,431.9475246,21.98194226
411.7444409,11.4576492,432.4440467,22.34026731
412.7394592,11.46001829,432.9402397,22.8176392
413.7348066,11.34334055,433.7677764,23.41484762
414.3984811,11.22587311,434.2639694,23.89221951
415.8916667,10.99133307,434.9256698,24.48903308
416.5553413,10.87386563,435.9183848,25.32473002
417.2186869,10.87544503,436.5794271,26.15963727
417.5503596,10.87623472,437.075291,26.75605599
418.3798706,10.75916213,437.7363333,27.59096323
419.3748889,10.76153122,438.3977046,28.30682364
420.0382345,10.76311062,438.8929105,29.14133604
420.7015801,10.76469001,439.5542818,29.85719644
421.3652546,10.64722257,440.214666,30.93019736
422.360273,10.64959166,440.71053,31.52661608
422.6919457,10.65038136,441.3715722,32.36152333
422.8577821,10.65077621,441.7015998,32.9575472
423.0239476,10.53212422,442.0316274,33.55357108
423.190113,10.41347223,442.858506,34.38887317
423.3559494,10.41386708,443.3540409,35.10433873
424.019953,10.1773528,443.8502339,35.58171062
424.1857894,10.17774765,444.3454398,36.41622301
424.5174622,10.17853735,444.8409747,37.13168857
425.0153004,10.06067506,445.1710023,37.72771244
425.3473022,9.942417921,445.8317156,38.68166652
426.1768132,9.825345328,446.161085,39.51578407
426.508815,9.707088189,446.656949,40.11220279
426.6746514,9.707483038,446.9869766,40.70822667
427.6699987,9.590805294,447.4821825,41.54273906
428.167837,9.472943004,447.6453865,42.4955086
428.6653461,9.474127549,447.974427,43.44867298
429.1631843,9.356265259,448.6351402,44.40262706
429.8265299,9.357844653,448.9651678,44.99865093
430.3243681,9.239982363,449.2945373,45.83276848
431.15355,9.241956606,449.7894141,46.78632771
431.4855518,9.123699468,450.1184546,47.73949209
432.1492264,9.006232026,450.447495,48.69265648
432.6467356,9.007416572,450.7768645,49.52677402
432.9784084,9.008206269,451.1068921,50.1227979
433.4759175,9.009390815,451.4356035,51.19500911
433.8075903,9.010180512,451.9308094,52.02952151
434.1392631,9.010970209,452.5895484,53.6977566
434.3050995,9.011365057,453.0850833,54.41322216
434.8026086,9.012549603,453.4137947,55.48543338
434.968445,9.012944451,453.5779859,56.08106241
435.4659542,9.014128997,453.9070263,57.03422679
435.797627,9.014918694,454.4022322,57.86873918
436.2951361,9.01610324,454.8974381,58.70325158
436.6264799,9.135939772,455.392644,59.53776397
436.6268089,9.016892937,455.7216844,60.49092835
437.2894964,9.256566002,456.2165613,61.44448759
437.9525129,9.377192232,456.7120962,62.15995314
438.449693,9.497423613,457.206973,63.11351238
439.1127095,9.618049843,457.3705061,63.94723507
439.9412334,9.858117757,457.5343683,64.66191094
440.4387425,9.859302303,457.6982304,65.3765868
440.7704153,9.860092,458.524451,66.44998256
441.5992682,9.981113078,459.0199859,67.16544812
442.0961193,10.22039129,459.183519,67.99917082
442.5932994,10.34062268,459.3480392,68.47575301
443.0901505,10.57990089,459.6780668,69.07177688
444.2503471,10.8207585,460.1732727,69.90628928
445.0792,10.94177958,460.6688076,70.62175484
445.5760511,11.1810578,460.9981771,71.45587238
446.2390676,11.30168403,461.9889179,73.00585034
446.9017551,11.54135709,462.3186165,73.72092105
